Status | Name | Type | Operating system | IP | NetBIOS name | NetBIOS group | Manufacturer | MAC address | User
alive | POS0010459 |  |  | 10.1.4.139 | POS0010459 | ALSEAEUR |  | E8:B1:FC:20:36:22 | 
alive | POS0010452 |  |  | 10.1.4.132 | POS0010452 | ALSEAEUR |  | 98:2C:BC:36:6A:A0 | 
alive | POS0010453 |  |  | 10.1.4.133 | POS0010453 | ALSEAEUR |  | 98:2C:BC:F7:2C:D6 | 
alive | POS0010456 |  |  | 10.1.4.136 | POS0010456 | ALSEAEUR |  | 98:2C:BC:36:6A:AF | 
alive | 10.1.4.3 |  |  | 10.1.4.3 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.216 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.203 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.201 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.212 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.211 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.214 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.190 |  |  |  | 00:00:00:00:00:00 | 
alive | KDS0010401 |  |  | 10.1.4.191 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.194 |  |  |  | 00:00:00:00:00:00 | 
alive | 10.1.4.154 |  |  | 10.1.4.154 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010458 |  |  | 10.1.4.138 | POS0010458 | ALSEAEUR |  | 98:2C:BC:36:9D:DB | 
unknown |  |  |  | 10.1.4.213 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.196 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.247 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.224 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.208 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.215 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.241 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.192 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.199 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.253 |  |  |  | 00:00:00:00:00:00 | 
